Objects
100
,,Global Angle Mannequin:Mannequin,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
342,0,0.162081,-0.043721,3.148426,1315.882202,933.128418,789.602295
343,0,0.161800,-0.043932,3.148533,1315.868286,933.111328,789.601685
344,0,0.162137,-0.044129,3.148219,1315.878296,933.137024,789.638611
345,0,0.162025,-0.044895,3.147840,1315.891724,933.040710,789.552979
346,0,0.162043,-0.045071,3.147805,1315.881714,933.038818,789.556396
347,0,0.163063,-0.044090,3.147948,1315.885010,933.041016,789.554749
348,0,0.162519,-0.044414,3.148068,1315.878540,933.076233,789.560791
349,0,0.161873,-0.044077,3.148431,1315.877441,933.134827,789.614624
350,0,0.162497,-0.044608,3.148002,1315.867554,933.066284,789.564758
351,0,0.162198,-0.044938,3.147842,1315.885498,933.073975,789.577881
352,0,0.162083,-0.045100,3.147938,1315.869019,933.075500,789.569092
353,0,0.161275,-0.044225,3.148734,1315.855469,933.109375,789.595581
354,0,0.162458,-0.044566,3.147851,1315.879639,933.082092,789.574829
355,0,0.162352,-0.043315,3.148569,1315.905273,933.158691,789.641052
356,0,0.162811,-0.044300,3.147729,1315.901489,933.069458,789.585510
357,0,0.162323,-0.044764,3.147940,1315.893433,933.023987,789.541626
358,0,0.162416,-0.044741,3.147556,1315.909912,933.033569,789.570068
359,0,0.161683,-0.044656,3.148178,1315.870605,933.121155,789.612915
360,0,0.162155,-0.044995,3.147948,1315.882813,933.058594,789.564758
361,0,0.162511,-0.043404,3.148515,1315.873901,933.142334,789.613220
362,0,0.161823,-0.044486,3.148230,1315.882202,933.137573,789.625427
363,0,0.161945,-0.044228,3.148460,1315.857178,933.105103,789.610535
364,0,0.161341,-0.044620,3.148389,1315.873291,933.115479,789.619263
365,0,0.161799,-0.044555,3.148215,1315.882813,933.140259,789.628906
366,0,0.161875,-0.044224,3.148257,1315.888794,933.142639,789.627930
367,0,0.161757,-0.044287,3.148452,1315.867798,933.126587,789.630127
368,0,0.161748,-0.043969,3.148663,1315.866089,933.125427,789.617554
369,0,0.161943,-0.044101,3.148355,1315.878784,933.130676,789.603943
370,0,0.162197,-0.043946,3.148411,1315.881348,933.137329,789.622131
371,0,0.162025,-0.043625,3.148531,1315.865112,933.120178,789.606567
372,0,0.161541,-0.045073,3.148146,1315.904419,933.143433,789.640015
373,0,0.161721,-0.044619,3.148246,1315.890137,933.160278,789.656006
374,0,0.162136,-0.045237,3.147699,1315.880615,933.034790,789.546753
375,0,0.161780,-0.045127,3.147854,1315.893188,933.063660,789.567993
376,0,0.161881,-0.044508,3.148192,1315.880493,933.146240,789.626709
377,0,0.162136,-0.044893,3.147867,1315.891602,933.057922,789.551270
